"","Species_ID","Bishop_DB_Match","TSN","Taxonomic_Order","Taxonomic_Family","Genus","Species","Subdivision","Scientific_name","taxonRank","Authority","Synonym","Authority_Source","Citation","Common_name","Code","Life_form","Life_cycle","Omit_in_NPSpecies","Complete","Update_date","Update_by","Update_comments","TSN_park","Park","Park_common_name","Life_form_park","Nativeness","Distribution","Conservation_status","Update_date_park","Update_by_park","Update_comments_park","pacn_name","pacn_auth","bish_id","bish_name","bish_name_auth","bish_name_status","bish_accepted_name_id","bish_accepted_status","bish_IPNIID","bish_parentNameUsageID","bish_scientificName","bish_scientificNameAuthorship","bish_namePublishedIn","bish_taxonRank","bish_kingdom","bish_phylum","bish_class","bish_order","bish_family","bish_genus","bish_subgenus","bish_specificEpithet","bish_infraspecificEpithet","bish_Federal Status","bish_IUCNClassification","bish_RedlistCriteria","bish_vernacularName","pacn_new_bish_db_match"
"617","20100315154438-275582969.18869","Yes",40659,"Cyperales","Poaceae","Digitaria","setigera",NA,"Digitaria setigera","species","Roth",NA,"2012 Bishop Museum Technical Report 60","Wagner et al. 1990; Herbst & Clayton 1998","East Indian crabgrass","DIGSET","Grass","Annual",FALSE,TRUE,2013-12-12 15:35:47,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",40659,"KAHO","kūkae pua‘a","Grass","Native","ind",NA,NA,NA,NA,"Digitaria setigera","Roth","28D632DC-7707-4131-9E73-784653D635EF","Digitaria setigera","Roth","Accepted","28D632DC-7707-4131-9E73-784653D635EF","Accepted","1203032-2","366287E7-1E94-456D-AAE5-E1EAAE70E272","Digitaria setigera","Roth","J.J.Roemer & J.A.Schultes, Syst. Veg., ed. 15 bis 2: 474 (1817)","species","Viridiplantae","Magnoliophyta","Monocots","Poales","Poaceae","Digitaria","NULL","setigera","NULL","NULL","NULL","NULL","itchy crabgrass, kūkaepua‘a [kukaepuaa], mau‘u kūkaepua‘a [mauu kukaepuaa]","Yes"
"618","20100315154438-275582969.18869","Yes",40659,"Cyperales","Poaceae","Digitaria","setigera",NA,"Digitaria setigera","species","Roth",NA,"2012 Bishop Museum Technical Report 60","Wagner et al. 1990; Herbst & Clayton 1998","East Indian crabgrass","DIGSET","Grass","Annual",FALSE,TRUE,2013-12-12 15:35:47,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",40659,"HALE","kūkae pua‘a","Grass","Native","ind",NA,NA,NA,NA,"Digitaria setigera","Roth","28D632DC-7707-4131-9E73-784653D635EF","Digitaria setigera","Roth","Accepted","28D632DC-7707-4131-9E73-784653D635EF","Accepted","1203032-2","366287E7-1E94-456D-AAE5-E1EAAE70E272","Digitaria setigera","Roth","J.J.Roemer & J.A.Schultes, Syst. Veg., ed. 15 bis 2: 474 (1817)","species","Viridiplantae","Magnoliophyta","Monocots","Poales","Poaceae","Digitaria","NULL","setigera","NULL","NULL","NULL","NULL","itchy crabgrass, kūkaepua‘a [kukaepuaa], mau‘u kūkaepua‘a [mauu kukaepuaa]","Yes"
"619","20100315154438-275582969.18869","Yes",40659,"Cyperales","Poaceae","Digitaria","setigera",NA,"Digitaria setigera","species","Roth",NA,"2012 Bishop Museum Technical Report 60","Wagner et al. 1990; Herbst & Clayton 1998","East Indian crabgrass","DIGSET","Grass","Annual",FALSE,TRUE,2013-12-12 15:35:47,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",40659,"HAVO","kūkae pua‘a","Grass","Native","ind",NA,NA,NA,NA,"Digitaria setigera","Roth","28D632DC-7707-4131-9E73-784653D635EF","Digitaria setigera","Roth","Accepted","28D632DC-7707-4131-9E73-784653D635EF","Accepted","1203032-2","366287E7-1E94-456D-AAE5-E1EAAE70E272","Digitaria setigera","Roth","J.J.Roemer & J.A.Schultes, Syst. Veg., ed. 15 bis 2: 474 (1817)","species","Viridiplantae","Magnoliophyta","Monocots","Poales","Poaceae","Digitaria","NULL","setigera","NULL","NULL","NULL","NULL","itchy crabgrass, kūkaepua‘a [kukaepuaa], mau‘u kūkaepua‘a [mauu kukaepuaa]","Yes"
"620","20100315154438-275582969.18869","Yes",40659,"Cyperales","Poaceae","Digitaria","setigera",NA,"Digitaria setigera","species","Roth",NA,"2012 Bishop Museum Technical Report 60","Wagner et al. 1990; Herbst & Clayton 1998","East Indian crabgrass","DIGSET","Grass","Annual",FALSE,TRUE,2013-12-12 15:35:47,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",40659,"KALA","kūkae pua‘a","Grass","Native","ind",NA,NA,NA,NA,"Digitaria setigera","Roth","28D632DC-7707-4131-9E73-784653D635EF","Digitaria setigera","Roth","Accepted","28D632DC-7707-4131-9E73-784653D635EF","Accepted","1203032-2","366287E7-1E94-456D-AAE5-E1EAAE70E272","Digitaria setigera","Roth","J.J.Roemer & J.A.Schultes, Syst. Veg., ed. 15 bis 2: 474 (1817)","species","Viridiplantae","Magnoliophyta","Monocots","Poales","Poaceae","Digitaria","NULL","setigera","NULL","NULL","NULL","NULL","itchy crabgrass, kūkaepua‘a [kukaepuaa], mau‘u kūkaepua‘a [mauu kukaepuaa]","Yes"
"621","20100315154438-276123285.293579","No",-9789157,"Orchidales","Orchidaceae","Schomburgkia","spp.",NA,"Schomburgkia spp.","genus",NA,NA,NA,NA,NA,"SCHSP.","Herb","Perennial",FALSE,FALSE,NA,NA,NA,-9789157,"HALE",NA,NA,"Non-Native",NA,NA,NA,NA,NA,"Schomburgkia","","BFA6F044-9878-4E88-8627-910E9DCC060B","Schomburgkia","Lindl.","Heterotypic_Synonym","1A6A4C70-1F97-44E5-B4A8-926E24AEF421","Accepted","325605-2","7137569E-D68B-4080-B878-22919BBB7DDB","Laelia","Lindl.","Gen. Sp. Orchid. Pl.: 115 (1831)","genus","Viridiplantae","Magnoliophyta","Monocots","Asparagales","Orchidaceae","Laelia","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes"
"622","20100315154438-276236712.932587","Yes",506198,"Magnoliales","Annonaceae","Annona","cherimola",NA,"Annona cherimola","species","Mill.",NA,"Wagner et al. 2012","Staples et al., 2002","cherimoya","ANNCHE","Shrub","Annual",FALSE,FALSE,2013-12-12 15:30:01,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",506198,"HAVO",NA,NA,"Non-Native","nat",NA,NA,NA,NA,"Annona cherimola","Mill.","DE8D218B-4765-4B65-8FF6-8F3B2B383E7B","Annona cherimola","Mill.","Accepted","DE8D218B-4765-4B65-8FF6-8F3B2B383E7B","Accepted","927235-1","728337CC-FCA3-444A-945E-2F14EE452441","Annona cherimola","Mill.","Gard. Dict. ed. 8: n.º 5 (1768)","species","Viridiplantae","Magnoliophyta","Magnoliids","Magnoliales","Annonaceae","Annona","NULL","cherimola","NULL","NULL","Least Concern","NULL","cherimoya, custard apple","Yes"
"623","20100315154438-276250362.39624","Yes",30498,"Solanales","Solanaceae","Cestrum","nocturnum",NA,"Cestrum nocturnum","species","L.",NA,"Wagner et al. 2012","Oppenheimer & Bartlett, 2000; Starr et al., 2003; Oppenheimer, 2007, 2010","night cestrum, ‘ala aumoe, kupaoa","CESNOC","Shrub","Perennial",FALSE,FALSE,2013-12-13 12:17:25,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database.",30498,"HAVO",NA,NA,"Non-Native","nat",NA,NA,NA,NA,"Cestrum nocturnum","L.","9F4B7E02-2C2D-4D6F-8F04-B8457ABE00E2","Cestrum nocturnum","L.","Accepted","9F4B7E02-2C2D-4D6F-8F04-B8457ABE00E2","Accepted","316386-2","F1B9C39E-7B94-4418-9BD1-21B02095639C","Cestrum nocturnum","L.","Sp. Pl.: 191 (1753)","species","Viridiplantae","Magnoliophyta","Eudicot-Asterids","Solanales","Solanaceae","Cestrum","NULL","nocturnum","NULL","NULL","Least Concern","NULL","‘ala aumoe [ala aumoe], chinese inkberry, night blooming jasmine, night cestrum, night jessamine, night-blooming jasmine","Yes"
"624","20100315154438-277108550.071716","Yes",34965,"Rubiales","Rubiaceae","Coprosma","ernodeoides",NA,"Coprosma ernodeoides","species","A. Gray",NA,"2012 Bishop Museum Technical Report 60","Wagner et al. 1990","leponene, punene, kukaenene","COPERN","Shrub","Perennial",FALSE,TRUE,2013-12-12 15:35:47,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",34965,"HALE","kūkae nēnē","Shrub","Native","end",NA,NA,NA,NA,"Coprosma ernodeoides","A. Gray","26135BB8-9D32-42DD-98CB-480952C1A389","Coprosma ernodeoides","A.Gray","Accepted","26135BB8-9D32-42DD-98CB-480952C1A389","Accepted","747407-1","7C1341B3-57B2-4FD9-A117-3B83E9968DE9","Coprosma ernodeoides","A.Gray","Proc. Amer. Acad. Arts 4: 49 (1860)","species","Viridiplantae","Magnoliophyta","Eudicot-Asterids","Gentianales","Rubiaceae","Coprosma","NULL","ernodeoides","NULL","NULL","NULL","NULL","‘aiakanēnē [aiakanene], hupilo, kūkaenēnē, kükaenēnē [kukaenene], leponēnē [leponene], nēnē [nene], pilo, pūnēnē [punene]","Yes"
"625","20100315154438-277108550.071716","Yes",34965,"Rubiales","Rubiaceae","Coprosma","ernodeoides",NA,"Coprosma ernodeoides","species","A. Gray",NA,"2012 Bishop Museum Technical Report 60","Wagner et al. 1990","leponene, punene, kukaenene","COPERN","Shrub","Perennial",FALSE,TRUE,2013-12-12 15:35:47,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",34965,"HAVO","kūkae nene","Shrub","Native","end",NA,NA,NA,NA,"Coprosma ernodeoides","A. Gray","26135BB8-9D32-42DD-98CB-480952C1A389","Coprosma ernodeoides","A.Gray","Accepted","26135BB8-9D32-42DD-98CB-480952C1A389","Accepted","747407-1","7C1341B3-57B2-4FD9-A117-3B83E9968DE9","Coprosma ernodeoides","A.Gray","Proc. Amer. Acad. Arts 4: 49 (1860)","species","Viridiplantae","Magnoliophyta","Eudicot-Asterids","Gentianales","Rubiaceae","Coprosma","NULL","ernodeoides","NULL","NULL","NULL","NULL","‘aiakanēnē [aiakanene], hupilo, kūkaenēnē, kükaenēnē [kukaenene], leponēnē [leponene], nēnē [nene], pilo, pūnēnē [punene]","Yes"
"626","20100315154438-277108550.071716","Yes",34965,"Rubiales","Rubiaceae","Coprosma","ernodeoides",NA,"Coprosma ernodeoides","species","A. Gray",NA,"2012 Bishop Museum Technical Report 60","Wagner et al. 1990","leponene, punene, kukaenene","COPERN","Shrub","Perennial",FALSE,TRUE,2013-12-12 15:35:47,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",34965,"PUHO","kūkae nēnē","Shrub","Native","end",NA,NA,NA,NA,"Coprosma ernodeoides","A. Gray","26135BB8-9D32-42DD-98CB-480952C1A389","Coprosma ernodeoides","A.Gray","Accepted","26135BB8-9D32-42DD-98CB-480952C1A389","Accepted","747407-1","7C1341B3-57B2-4FD9-A117-3B83E9968DE9","Coprosma ernodeoides","A.Gray","Proc. Amer. Acad. Arts 4: 49 (1860)","species","Viridiplantae","Magnoliophyta","Eudicot-Asterids","Gentianales","Rubiaceae","Coprosma","NULL","ernodeoides","NULL","NULL","NULL","NULL","‘aiakanēnē [aiakanene], hupilo, kūkaenēnē, kükaenēnē [kukaenene], leponēnē [leponene], nēnē [nene], pilo, pūnēnē [punene]","Yes"
"627","20100315154438-277168393.135071","No",-9789872,"Rubiales","Rubiaceae","Kadua","affinis × Kadua axillaris",NA,"Kadua affinis × Kadua axillaris","hybrid",NA,NA,NA,NA,NA,"KADAFF2","Shrub","Perennial",FALSE,FALSE,2025-12-09,"Jacob Gross",NA,-9789872,"HAVO",NA,"Tree","Native","end",NA,2025-12-09,"Jacob Gross",NA,"Kadua affinis × Kadua axillaris","","F2269B8F-310D-4B90-A79D-364BC510B610","Kadua affinis × Kadua axillaris","NULL","Accepted","F2269B8F-310D-4B90-A79D-364BC510B610","Accepted","NULL","4E86422C-F4D2-40CF-952A-B556C32B4CBB","Kadua affinis × Kadua axillaris","NULL","NULL","nothospecies","Viridiplantae","Magnoliophyta","Eudicot-Asterids","Gentianales","Rubiaceae","Kadua","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes"
"628","20100315154438-277688801.288605","Yes",502077,"Ebenales","Ebenaceae","Diospyros","sandwicensis",NA,"Diospyros sandwicensis","species","(A. DC.) Fosberg",NA,"2012 Bishop Museum Technical Report 60","Wagner et al. 1990","elama","DIOSAN","Tree","Perennial",FALSE,TRUE,2013-12-12 15:35:47,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",502077,"KAHO","lama","Tree","Native","end",NA,NA,NA,NA,"Diospyros sandwicensis","(A. DC.) Fosberg","1631A459-199B-462D-AD98-19CC5F6EDF5B","Diospyros sandwicensis","(A.DC.) Fosberg","Accepted","1631A459-199B-462D-AD98-19CC5F6EDF5B","Accepted","322977-1","1409586A-1370-47C2-8DB5-467B85F815BB","Diospyros sandwicensis","(A.DC.) Fosberg","Occas. Pap. Bernice Pauahi Bishop Mus. 12(15): 8 (1936)","species","Viridiplantae","Magnoliophyta","Eudicot-Asterids","Ericales","Ebenaceae","Diospyros","NULL","sandwicensis","NULL","NULL","Vulnerable","B1ab(iii)","ēlama [elama], lama","Yes"
"629","20100315154438-277688801.288605","Yes",502077,"Ebenales","Ebenaceae","Diospyros","sandwicensis",NA,"Diospyros sandwicensis","species","(A. DC.) Fosberg",NA,"2012 Bishop Museum Technical Report 60","Wagner et al. 1990","elama","DIOSAN","Tree","Perennial",FALSE,TRUE,2013-12-12 15:35:47,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",502077,"HALE","lama","Tree","Native","end",NA,NA,NA,NA,"Diospyros sandwicensis","(A. DC.) Fosberg","1631A459-199B-462D-AD98-19CC5F6EDF5B","Diospyros sandwicensis","(A.DC.) Fosberg","Accepted","1631A459-199B-462D-AD98-19CC5F6EDF5B","Accepted","322977-1","1409586A-1370-47C2-8DB5-467B85F815BB","Diospyros sandwicensis","(A.DC.) Fosberg","Occas. Pap. Bernice Pauahi Bishop Mus. 12(15): 8 (1936)","species","Viridiplantae","Magnoliophyta","Eudicot-Asterids","Ericales","Ebenaceae","Diospyros","NULL","sandwicensis","NULL","NULL","Vulnerable","B1ab(iii)","ēlama [elama], lama","Yes"
"630","20100315154438-277688801.288605","Yes",502077,"Ebenales","Ebenaceae","Diospyros","sandwicensis",NA,"Diospyros sandwicensis","species","(A. DC.) Fosberg",NA,"2012 Bishop Museum Technical Report 60","Wagner et al. 1990","elama","DIOSAN","Tree","Perennial",FALSE,TRUE,2013-12-12 15:35:47,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",502077,"HAVO","lama","Tree","Native","end",NA,NA,NA,NA,"Diospyros sandwicensis","(A. DC.) Fosberg","1631A459-199B-462D-AD98-19CC5F6EDF5B","Diospyros sandwicensis","(A.DC.) Fosberg","Accepted","1631A459-199B-462D-AD98-19CC5F6EDF5B","Accepted","322977-1","1409586A-1370-47C2-8DB5-467B85F815BB","Diospyros sandwicensis","(A.DC.) Fosberg","Occas. Pap. Bernice Pauahi Bishop Mus. 12(15): 8 (1936)","species","Viridiplantae","Magnoliophyta","Eudicot-Asterids","Ericales","Ebenaceae","Diospyros","NULL","sandwicensis","NULL","NULL","Vulnerable","B1ab(iii)","ēlama [elama], lama","Yes"
"631","20100315154438-277688801.288605","Yes",502077,"Ebenales","Ebenaceae","Diospyros","sandwicensis",NA,"Diospyros sandwicensis","species","(A. DC.) Fosberg",NA,"2012 Bishop Museum Technical Report 60","Wagner et al. 1990","elama","DIOSAN","Tree","Perennial",FALSE,TRUE,2013-12-12 15:35:47,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",502077,"KALA","lama","Tree","Native","end",NA,NA,NA,NA,"Diospyros sandwicensis","(A. DC.) Fosberg","1631A459-199B-462D-AD98-19CC5F6EDF5B","Diospyros sandwicensis","(A.DC.) Fosberg","Accepted","1631A459-199B-462D-AD98-19CC5F6EDF5B","Accepted","322977-1","1409586A-1370-47C2-8DB5-467B85F815BB","Diospyros sandwicensis","(A.DC.) Fosberg","Occas. Pap. Bernice Pauahi Bishop Mus. 12(15): 8 (1936)","species","Viridiplantae","Magnoliophyta","Eudicot-Asterids","Ericales","Ebenaceae","Diospyros","NULL","sandwicensis","NULL","NULL","Vulnerable","B1ab(iii)","ēlama [elama], lama","Yes"
"632","20100315154438-277688801.288605","Yes",502077,"Ebenales","Ebenaceae","Diospyros","sandwicensis",NA,"Diospyros sandwicensis","species","(A. DC.) Fosberg",NA,"2012 Bishop Museum Technical Report 60","Wagner et al. 1990","elama","DIOSAN","Tree","Perennial",FALSE,TRUE,2013-12-12 15:35:47,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",502077,"PUHO","lama","Tree","Native","end",NA,NA,NA,NA,"Diospyros sandwicensis","(A. DC.) Fosberg","1631A459-199B-462D-AD98-19CC5F6EDF5B","Diospyros sandwicensis","(A.DC.) Fosberg","Accepted","1631A459-199B-462D-AD98-19CC5F6EDF5B","Accepted","322977-1","1409586A-1370-47C2-8DB5-467B85F815BB","Diospyros sandwicensis","(A.DC.) Fosberg","Occas. Pap. Bernice Pauahi Bishop Mus. 12(15): 8 (1936)","species","Viridiplantae","Magnoliophyta","Eudicot-Asterids","Ericales","Ebenaceae","Diospyros","NULL","sandwicensis","NULL","NULL","Vulnerable","B1ab(iii)","ēlama [elama], lama","Yes"
"633","20100315154438-278410971.164703","Yes",18074,"Magnoliales","Magnoliaceae","Magnolia","grandiflora",NA,"Magnolia grandiflora","species",NA,NA,NA,NA,"southern magnolia","MAGGRA","Tree","Perennial",FALSE,FALSE,NA,NA,NA,18074,"HAVO",NA,NA,"Non-Native",NA,NA,NA,NA,NA,"Magnolia grandiflora","","E3B82856-C6BB-4423-BEC7-6242B2FDA56E","Magnolia grandiflora","L.","Accepted","E3B82856-C6BB-4423-BEC7-6242B2FDA56E","Accepted","554723-1","4FA3B008-6A53-47BB-8615-0F6D6E20C4B6","Magnolia grandiflora","L.","Syst. Nat. ed. 10, 2: 1082 (1759)","species","Viridiplantae","Magnoliophyta","Magnoliids","Magnoliales","Magnoliaceae","Magnolia","NULL","grandiflora","NULL","NULL","Least Concern","NULL","southern magnolia","Yes"
"634","20100315154438-278589427.471161","No",845403,"Campanulales","Campanulaceae","Lobelia","dunbariae","ssp. paniculata","Lobelia dunbariae ssp. paniculata","subspecies","Rock; (Rock) Lammers","Lobelia dunbarii Rock subsp. paniculata (Rock) Lammers (spelling change)","2012 Bishop Museum Technical Report 60","Wagner et al. 1990","haha, `Oha, Oha Wai","LOBDUN2","Shrub","Perennial",FALSE,FALSE,2013-12-12 15:44:13,"Kelly Kozar","Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authority source, citation, and synonym.  Updated distribution in xref table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",845403,"KALA",NA,NA,"Native","end",NA,NA,NA,NA,"Lobelia dunbariae subsp. paniculata","Rock; (Rock) Lammers","F5215CE6-68E8-4536-8497-FE2F3A238F80","Lobelia dunbariae subsp. paniculata","(Rock) Lammers","Accepted","F5215CE6-68E8-4536-8497-FE2F3A238F80","Accepted","954748-1","FBA9070D-1F24-4784-9FFD-AFA81737BB9C","Lobelia dunbariae subsp. paniculata","(Rock) Lammers","Syst. Bot. 13: 506 (1988)","subspecies","Viridiplantae","Magnoliophyta","Eudicot-Asterids","Asterales","Campanulaceae","Lobelia","NULL","dunbariae","paniculata","NULL","Critically Endangered","B1ab(i,ii,iii,iv,v)","NULL","Yes"
"635","20100315154438-278721392.154694","Yes",503076,"Lycopodiales","Lycopodiaceae","Huperzia","haleakalae",NA,"Huperzia haleakalae","species","(Brack.) Holub",NA,"2012 Bishop Museum Technical Report 60","Palmer 2003","Pacific clubmoss","HUPHAL","Fern ally","Perennial",FALSE,FALSE,2013-12-13 12:17:25,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database.",503076,"HALE",NA,"Fern ally","Native","ind",NA,NA,NA,NA,"Huperzia haleakalae","(Brack.) Holub","D6F3AF31-A040-4EA1-A33A-C77BC85AF7A1","Huperzia haleakalae","(Brack.) Holub","Accepted","D6F3AF31-A040-4EA1-A33A-C77BC85AF7A1","Accepted","1133697-2","BF46D1E0-41F8-44F3-A4DC-3D6CECEF4A42","Huperzia haleakalae","(Brack.) Holub","Folia Geobot. Phytotax. 20: 73 (1985)","species","Viridiplantae","Lycopodiophyta","Lycopodiopsida","Lycopodiales","Lycopodiaceae","Huperzia","NULL","haleakalae","NULL","NULL","NULL","NULL","NULL","Yes"
"636","20100315154438-279342055.32074","Yes",17519,"Polypodiales","Dryopteridaceae","Dryopteris","spp.",NA,"Dryopteris spp.","genus",NA,NA,NA,NA,NA,"DRYSP.","Fern","Perennial",FALSE,TRUE,2013-11-07,"Kelly Kozar","Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSNs to permanent TSNs.",17519,"KALA",NA,"Fern","Unknown",NA,NA,NA,NA,NA,"Dryopteris","","4F2EB428-A2A1-495F-96B1-3E6C8E943E8B","Dryopteris","Adans.","Accepted","4F2EB428-A2A1-495F-96B1-3E6C8E943E8B","Accepted","326002-2","0C16D2C6-E160-46F3-8B48-475A36BBC7A0","Dryopteris","Adans.","Fam. Pl. 2: 20, 551 (1763)","genus","Viridiplantae","Pteridophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","Dryopteris","NULL","NULL","NULL","NULL","NULL","NULL","dryopteris","Yes"
"637","20100315154438-279342055.32074","Yes",17519,"Polypodiales","Dryopteridaceae","Dryopteris","spp.",NA,"Dryopteris spp.","genus",NA,NA,NA,NA,NA,"DRYSP.","Fern","Perennial",FALSE,TRUE,2013-11-07,"Kelly Kozar","Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSNs to permanent TSNs.",17519,"HALE","Dryopteris spp.","Fern","Unknown",NA,NA,NA,NA,NA,"Dryopteris","","4F2EB428-A2A1-495F-96B1-3E6C8E943E8B","Dryopteris","Adans.","Accepted","4F2EB428-A2A1-495F-96B1-3E6C8E943E8B","Accepted","326002-2","0C16D2C6-E160-46F3-8B48-475A36BBC7A0","Dryopteris","Adans.","Fam. Pl. 2: 20, 551 (1763)","genus","Viridiplantae","Pteridophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","Dryopteris","NULL","NULL","NULL","NULL","NULL","NULL","dryopteris","Yes"
"638","20100315154438-279342055.32074","Yes",17519,"Polypodiales","Dryopteridaceae","Dryopteris","spp.",NA,"Dryopteris spp.","genus",NA,NA,NA,NA,NA,"DRYSP.","Fern","Perennial",FALSE,TRUE,2013-11-07,"Kelly Kozar","Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSNs to permanent TSNs.",17519,"HAVO","Dryopteris spp.","Fern","Unknown",NA,NA,NA,NA,NA,"Dryopteris","","4F2EB428-A2A1-495F-96B1-3E6C8E943E8B","Dryopteris","Adans.","Accepted","4F2EB428-A2A1-495F-96B1-3E6C8E943E8B","Accepted","326002-2","0C16D2C6-E160-46F3-8B48-475A36BBC7A0","Dryopteris","Adans.","Fam. Pl. 2: 20, 551 (1763)","genus","Viridiplantae","Pteridophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","Dryopteris","NULL","NULL","NULL","NULL","NULL","NULL","dryopteris","Yes"
"639","20100315154438-28003454.208374","Yes",505318,"Apiales","Apiaceae","Spermolepis","hawaiiensis",NA,"Spermolepis hawaiiensis","species","H. Wolff",NA,"Wagner et al. 2012","Lorence et al., 1995; Wagner & Herbst, 1995","no common name","SPEHAW","Herb","Annual",FALSE,FALSE,2013-12-13 12:17:25,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form and conservation status in xref table from PLANTS database.",505318,"HAVO",NA,NA,"Native","end","E",NA,NA,NA,"Spermolepis hawaiiensis","H. Wolff","BFBD3B65-C3DA-4FEB-A39D-98C08473EDFC","Spermolepis hawaiiensis","H.Wolff","Accepted","BFBD3B65-C3DA-4FEB-A39D-98C08473EDFC","Accepted","849151-1","A93594AE-D764-4225-AA06-0C2488B28DDB","Spermolepis hawaiiensis","H.Wolff","Repert. Spec. Nov. Regni Veg. 17: 440 (1921)","species","Viridiplantae","Magnoliophyta","Eudicot-Asterids","Apiales","Apiaceae","Spermolepis","NULL","hawaiiensis","NULL","Endangered","NULL","NULL","NULL","Yes"
"640","20100315154438-280319809.913635","Yes",34332,"Scrophulariales","Bignoniaceae","Crescentia","cujete",NA,"Crescentia cujete","species",NA,NA,NA,NA,"common calabash tree","CRECUJ","Tree","Perennial",FALSE,FALSE,NA,NA,NA,34332,"KAHO",NA,NA,"Non-Native",NA,NA,NA,NA,NA,"Crescentia cujete","","7DF05FCF-10A4-47AA-AC8C-5D389D9858BE","Crescentia cujete","L.","Accepted","7DF05FCF-10A4-47AA-AC8C-5D389D9858BE","Accepted","319161-2","36A1C319-45D8-4EA5-B1CB-B08E216908E8","Crescentia cujete","L.","Sp. Pl. 2: 626 (1753)","species","Viridiplantae","Magnoliophyta","Eudicot-Asterids","Lamiales","Bignoniaceae","Crescentia","NULL","cujete","NULL","NULL","Least Concern","NULL","calabash tree, gourd tree","Yes"
"641","20100315154438-280319809.913635","Yes",34332,"Scrophulariales","Bignoniaceae","Crescentia","cujete",NA,"Crescentia cujete","species",NA,NA,NA,NA,"common calabash tree","CRECUJ","Tree","Perennial",FALSE,FALSE,NA,NA,NA,34332,"PUHO",NA,NA,"Non-Native",NA,NA,NA,NA,NA,"Crescentia cujete","","7DF05FCF-10A4-47AA-AC8C-5D389D9858BE","Crescentia cujete","L.","Accepted","7DF05FCF-10A4-47AA-AC8C-5D389D9858BE","Accepted","319161-2","36A1C319-45D8-4EA5-B1CB-B08E216908E8","Crescentia cujete","L.","Sp. Pl. 2: 626 (1753)","species","Viridiplantae","Magnoliophyta","Eudicot-Asterids","Lamiales","Bignoniaceae","Crescentia","NULL","cujete","NULL","NULL","Least Concern","NULL","calabash tree, gourd tree","Yes"
